"category","project","external_id","name","kind","status","reference_xyz","tp_command","reference_type","derived","geometry_type","geometry_extent","parent","database_id"
"PassageWay access","Town Expansion R1","GRT-OWNER-GRAND-DESCENT","Gilded Raven Owner Grand Descent","road","complete","-10, ~, -391","/tp @s -10 ~ -391","derived bounds center","true","bounds","x[-34…14] y[-46…67] z[-400…-383]","","wft_51a55ee2f8d8d121a65e4c7b"
"PassageWay access","Town Expansion R1","RRCH-GILDED-RAVEN","Gilded Raven Theatre House","building","complete","-8, ~, -376","/tp @s -8 ~ -376","derived bounds center","true","bounds","x[-34…18] y[40…110] z[-402…-350]","","wft_83075e1870cc5501048a118a"
"PassageWay access","Town Expansion R1","OWNER-CORRIDOR-GRT-OBS-01","Gilded Raven–Observatory Owner Corridor","custom","complete","177, -41, -112","/tp @s 177 -41 -112","derived bounds center","true","bounds","x[-14…367] y[-46…-37] z[-394…169]","","wft_d8ff315276a6b73ea6713910"
"PassageWay access","Town Expansion R1","OBS-OWNER-EAST-ARRIVAL-GALLERY","Observatory Owner East Arrival Gallery","custom","complete","309, 115, 165","/tp @s 309 115 165","derived bounds center","true","bounds","x[269…348] y[109…120] z[156…174]","","wft_c6c27d87d93e9c65ab78d262"
"PassageWay access","Town Expansion R1","OBS-OWNER-EAST-ASCENT","Observatory Owner East Ascent","road","complete","363, ~, 165","/tp @s 363 ~ 165","derived bounds center","true","bounds","x[348…377] y[-46…112] z[150…180]","","wft_a639d847ff4c4a3d2f4b5445"
"PassageWay access","Town Expansion R1","OWNER-REST-A","Owner Corridor Rest Suite A","room","complete","34, -40, -341","/tp @s 34 -40 -341","derived bounds center","true","bounds","x[20…48] y[-46…-34] z[-351…-331]","","wft_b2ac91d039351e487abdc613"
"PassageWay access","Town Expansion R1","OWNER-REST-B","Owner Corridor Rest Suite B","room","complete","34, -40, -259","/tp @s 34 -40 -259","derived bounds center","true","bounds","x[20…48] y[-46…-34] z[-269…-249]","","wft_c82d377bd13b99e90403c291"
"PassageWay access","Town Expansion R1","OWNER-REST-C","Owner Corridor Rest Suite C","room","complete","172, -40, -151","/tp @s 172 -40 -151","derived bounds center","true","bounds","x[157…186] y[-46…-34] z[-161…-141]","","wft_c094a31ff3aae18fe145c70e"
"PassageWay access","Town Expansion R1","OWNER-REST-D","Owner Corridor Rest Suite D","room","complete","172, -40, -101","/tp @s 172 -40 -101","derived bounds center","true","bounds","x[157…186] y[-46…-34] z[-111…-91]","","wft_00978c20fa7f7d296394b08e"
"PassageWay access","Town Expansion R1","OWNER-REST-E","Owner Corridor Rest Suite E","room","complete","187, -40, 40","/tp @s 187 -40 40","derived bounds center","true","bounds","x[172…201] y[-46…-34] z[30…50]","","wft_06434e036a79cd6cece9341d"
"PassageWay access","Town Expansion R1","OWNER-REST-F","Owner Corridor Rest Suite F","room","complete","250, -40, 72","/tp @s 250 -40 72","derived bounds center","true","bounds","x[235…264] y[-46…-34] z[62…82]","","wft_38145fb8e340a8abb1780887"
"PassageWay access","Town Expansion R1","OWNER-REST-G","Owner Corridor Rest Suite G","room","complete","341, -40, 100","/tp @s 341 -40 100","derived bounds center","true","bounds","x[326…355] y[-46…-34] z[90…110]","","wft_6afdc7e9c2f3d4ad9bbe92ea"
"PassageWay access","Town Expansion R1","TE-GUILDHALL-01","Te Guildhall 01","custom","complete","-35, ~, -435","/tp @s -35 ~ -435","derived bounds center","true","bounds","x[-65…-6] y[51…99] z[-463…-408]","","wft_17f5393002c3b0d92ad6a993"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD","Te Ia Concord","custom","complete","704, ~, -387","/tp @s 704 ~ -387","derived bounds center","true","bounds","x[600…808] y[39…90] z[-428…-346]","","wft_a44ea50e51e50fb9e648b32c"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-BAR","Te Ia Concord Bar","custom","complete","663, ~, -360","/tp @s 663 ~ -360","derived bounds center","true","bounds","x[649…676] y[49…83] z[-370…-350]","","wft_f23f0671539fbf374976b33c"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-BROADCAST-EXCHANGE","Te Ia Concord Broadcast Exchange","custom","complete","705, ~, -387","/tp @s 705 ~ -387","derived bounds center","true","bounds","x[680…730] y[38…145] z[-425…-350]","","wft_6283967061519abb490989b4"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-DANCE","Te Ia Concord Dance","custom","complete","791, 74, -374","/tp @s 791 74 -374","derived bounds center","true","bounds","x[773…809] y[65…82] z[-386…-362]","","wft_bcb38c71aedf9111137043d8"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-GAS","Te Ia Concord Gas","custom","complete","663, 74, -406","/tp @s 663 74 -406","derived bounds center","true","bounds","x[649…676] y[65…82] z[-416…-396]","","wft_80001e42863c55b3d6e9c501"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-MOTEL","Te Ia Concord Motel","custom","complete","752, 70, -367","/tp @s 752 70 -367","derived bounds center","true","bounds","x[730…773] y[60…80] z[-386…-349]","","wft_c3d73391ef36988b1fc5cbf2"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-POST","Te Ia Concord Post","custom","complete","663, 74, -382","/tp @s 663 74 -382","derived bounds center","true","bounds","x[649…676] y[66…82] z[-391…-373]","","wft_2fa49db3fa5dcef7ac27b098"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-SOUNDSTAGE-ANNEX","Te Ia Concord Soundstage Annex","custom","complete","730, ~, -458","/tp @s 730 ~ -458","derived bounds center","true","bounds","x[656…804] y[49…96] z[-491…-425]","","wft_751c71fcc48f650bf0a65e55"
"PassageWay access","Town Expansion R1","TE-IA-CONCORD-THEATER","Te Ia Concord Theater","custom","complete","791, 70, -407","/tp @s 791 70 -407","derived bounds center","true","bounds","x[773…809] y[58…81] z[-426…-389]","","wft_9919f85802f9e06f2245a63e"
"PassageWay access","Town Expansion R1","TE-IA-DATA-DM02","Te Ia Data Dm02","custom","complete","789, ~, -682","/tp @s 789 ~ -682","derived bounds center","true","bounds","x[767…811] y[47…92] z[-701…-663]","","wft_9d7321dcf2c3ac8c08009b3a"
"PassageWay access","Town Expansion R1","TE-IA-DATA-DM08","Te Ia Data Dm08","custom","complete","883, ~, -639","/tp @s 883 ~ -639","derived bounds center","true","bounds","x[861…905] y[53…86] z[-658…-620]","","wft_acae1a7b4b911ec417a58e5b"
"PassageWay access","Town Expansion R1","TE-IA-DATA-DM14","Te Ia Data Dm14","custom","complete","883, ~, -424","/tp @s 883 ~ -424","derived bounds center","true","bounds","x[861…905] y[46…92] z[-443…-405]","","wft_6c8977a49719ddbc5b9935a1"
"PassageWay access","Town Expansion R1","TE-IA-DATA-DM41","Te Ia Data Dm41","custom","complete","883, ~, -338","/tp @s 883 ~ -338","derived bounds center","true","bounds","x[861…905] y[48…90] z[-357…-319]","","wft_bb3c6b0c0d60eaea3e718444"
"PassageWay access","Town Expansion R1","TE-IA-DISTRICT-WORKER-COMMONS","Te Ia District Worker Commons","custom","complete","1024, ~, -366","/tp @s 1024 ~ -366","derived bounds center","true","bounds","x[790…1258] y[43…97] z[-544…-189]","","wft_44dbb1a1d18f847b774b3548"
"PassageWay access","Town Expansion R1","TE-IA-HOLDOUT-HOME-SHELTER","Te Ia Holdout Home Shelter","custom","complete","613, ~, -145","/tp @s 613 ~ -145","derived bounds center","true","bounds","x[602…624] y[38…72] z[-160…-130]","","wft_56f9d65714d58900acfb00f2"
"PassageWay access","Town Expansion R1","TE-IA-INFO-ANNEX","Te Ia Info Annex","custom","complete","774, ~, -473","/tp @s 774 ~ -473","derived bounds center","true","bounds","x[744…804] y[20…80] z[-512…-435]","","wft_34bb2f2ccfe633b5a0f5dcd5"
"PassageWay access","Town Expansion R1","TE-LIB-GUILD-SECRET-01","Te Lib Guild Secret 01","custom","complete","-84, 61, -432","/tp @s -84 61 -432","derived bounds center","true","bounds","x[-111…-58] y[58…64] z[-442…-423]","","wft_90156d34b46103d92276ddd6"
"PassageWay access","Town Expansion R1","TE-LIBRARY-04X","Te Library 04x","custom","complete","-144, ~, -425","/tp @s -144 ~ -425","derived bounds center","true","bounds","x[-178…-111] y[44…91] z[-448…-403]","","wft_d77a45a35fd2bf34fca52206"
"PassageWay access","Town Expansion R1","TE-LIBRARY-TERRACE","Te Library Terrace","custom","complete","-102, 75, -439","/tp @s -102 75 -439","derived bounds center","true","bounds","x[-110…-94] y[67…82] z[-447…-432]","","wft_58d0517cf960753eef3d41e3"
"PassageWay access","Town Expansion R1","TE-MSA-B01-GUEST-SERVICES-DESTINATION","Te Msa B01 Guest Services Destination","custom","complete","0, ~, 128","/tp @s 0 ~ 128","derived bounds center","true","bounds","x[-72…72] y[50…100] z[90…166]","","wft_26fe79111710bee470dcccee"
"PassageWay access","Town Expansion R1","TE-MSA-UW01-DRY-CORE","Te Msa Uw01 Dry Core","custom","complete","60, ~, 245","/tp @s 60 ~ 245","derived bounds center","true","bounds","x[31…88] y[40…74] z[193…296]","","wft_80a7b747356f598b057f262a"
"PassageWay access","Town Expansion R1","TE-MSA-UW01-DRY-EAST-WINGS","Te Msa Uw01 Dry East Wings","custom","complete","106, 50, 248","/tp @s 106 50 248","derived bounds center","true","bounds","x[86…125] y[40…60] z[200…296]","","wft_057ffc501ef2511c90fc65b8"
"PassageWay access","Town Expansion R1","TE-OASIS-BUNKER-01","Te Oasis Bunker 01","custom","complete","-230, 57, -530","/tp @s -230 57 -530","derived bounds center","true","bounds","x[-252…-208] y[44…69] z[-548…-513]","","wft_888d86906a1650138d84742b"
"PassageWay access","Town Expansion R1","TE-OBS-OWNER-EAST-ARRIVAL-GALLERY","Te Obs Owner East Arrival Gallery","custom","complete","311, 115, 164","/tp @s 311 115 164","derived bounds center","true","bounds","x[268…354] y[109…120] z[153…174]","","wft_cf4898921edf4770254e1de2"
"PassageWay access","Town Expansion R1","TE-OBS-OWNER-EAST-ASCENT","Te Obs Owner East Ascent","custom","complete","363, ~, 166","/tp @s 363 ~ 166","derived bounds center","true","bounds","x[348…377] y[-46…119] z[150…181]","","wft_7d8b2f5cbd94a13eca2d958f"
"PassageWay access","Town Expansion R1","TE-OBS-OWNER-MEGA-ESTATE","Te Obs Owner Mega Estate","custom","complete","210, ~, 169","/tp @s 210 ~ 169","derived bounds center","true","bounds","x[149…271] y[75…127] z[124…214]","","wft_b5bd4f7245692e59a75019a9"
"PassageWay access","Town Expansion R1","TE-OBS-OWNER-RED-ROOM","Te Obs Owner Red Room","custom","complete","162, 116, 163","/tp @s 162 116 163","derived bounds center","true","bounds","x[152…171] y[113…118] z[150…175]","","wft_6c8a3488e4855f87df912992"
"PassageWay access","Town Expansion R1","TE-OBS-OWNER-SPA","Te Obs Owner Spa","custom","complete","162, 111, 208","/tp @s 162 111 208","derived bounds center","true","bounds","x[149…175] y[105…117] z[195…221]","","wft_c4f5552969c9529f04cda90a"
"PassageWay access","Town Expansion R1","TE-OBS-OWNER-SPA-POOL","Te Obs Owner Spa Pool","custom","complete","159, 108, 204","/tp @s 159 108 204","derived bounds center","true","bounds","x[151…167] y[106…109] z[197…211]","","wft_806b091bfcdcf7df3702c982"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-DATACAMPUS","Te Obs Portal Datacampus","custom","complete","238, 83, 136","/tp @s 238 83 136","derived bounds center","true","bounds","x[230…245] y[78…88] z[123…148]","","wft_abf38d79c078ed5aff92dca7"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-HUB-CENTRAL","Te Obs Portal Hub Central","custom","complete","240, 83, 155","/tp @s 240 83 155","derived bounds center","true","bounds","x[230…250] y[78…88] z[145…165]","","wft_4a5e81e42e1277c2ab21bdd6"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-MAINSTREET","Te Obs Portal Mainstreet","custom","complete","258, 83, 153","/tp @s 258 83 153","derived bounds center","true","bounds","x[246…270] y[78…88] z[145…160]","","wft_2507808d6e56ecd07760934f"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-PANORAMA","Te Obs Portal Panorama","custom","complete","222, 83, 155","/tp @s 222 83 155","derived bounds center","true","bounds","x[210…234] y[78…88] z[145…165]","","wft_48c003dacec10aa8ea560c6e"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-RAVENROCK","Te Obs Portal Ravenrock","custom","complete","258, 83, 170","/tp @s 258 83 170","derived bounds center","true","bounds","x[246…270] y[78…88] z[162…177]","","wft_b1cdaf20d4992edeb9e922ea"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-RAVENSREACH","Te Obs Portal Ravensreach","custom","complete","238, 83, 175","/tp @s 238 83 175","derived bounds center","true","bounds","x[230…245] y[78…88] z[162…187]","","wft_5cd4a2b1eab29c5b525db0ae"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-SECRET-PASSAGE","Te Obs Portal Secret Passage","custom","complete","222, 102, 150","/tp @s 222 102 150","derived bounds center","true","bounds","x[211…232] y[89…114] z[145…155]","","wft_3eb5a210ffa56f94440ddd64"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-SPARE-A","Te Obs Portal Spare A","custom","complete","253, 83, 136","/tp @s 253 83 136","derived bounds center","true","bounds","x[247…258] y[78…88] z[123…148]","","wft_fd38d0347b82a7e93a31b145"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-SPARE-B","Te Obs Portal Spare B","custom","complete","265, 83, 136","/tp @s 265 83 136","derived bounds center","true","bounds","x[260…270] y[78…88] z[123…148]","","wft_806b36dbd1dda606403cfb99"
"PassageWay access","Town Expansion R1","TE-OBS-PORTAL-WESTLIGHT","Te Obs Portal Westlight","custom","complete","220, 83, 177","/tp @s 220 83 177","derived bounds center","true","bounds","x[210…229] y[78…88] z[166…187]","","wft_f0a1d2ae4e2292a3dabda154"
"PassageWay access","Town Expansion R1","TE-OWNER-CITY-SALES-OFFICE","Te Owner City Sales Office","custom","complete","92, -39, -216","/tp @s 92 -39 -216","derived bounds center","true","bounds","x[78…106] y[-46…-33] z[-230…-203]","","wft_766495459331f52b4ee2f24e"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-GRT-OBS","Te Owner Corridor Grt Obs","custom","complete","179, -41, -118","/tp @s 179 -41 -118","derived bounds center","true","bounds","x[-10…368] y[-46…-37] z[-395…159]","","wft_f34a18cf610099a86a07d724"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-A","Te Owner Corridor Rest A","custom","complete","38, -40, -341","/tp @s 38 -40 -341","derived bounds center","true","bounds","x[20…55] y[-46…-34] z[-351…-331]","","wft_b675295bfe63ad37ff18a4a6"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-B","Te Owner Corridor Rest B","custom","complete","38, -40, -259","/tp @s 38 -40 -259","derived bounds center","true","bounds","x[20…55] y[-46…-34] z[-269…-249]","","wft_90293fdb01303b86a03841bb"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-C","Te Owner Corridor Rest C","custom","complete","168, -40, -151","/tp @s 168 -40 -151","derived bounds center","true","bounds","x[150…186] y[-46…-34] z[-161…-141]","","wft_4df09e17917bad9b48898a99"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-D","Te Owner Corridor Rest D","custom","complete","168, -40, -101","/tp @s 168 -40 -101","derived bounds center","true","bounds","x[150…186] y[-46…-34] z[-111…-91]","","wft_72f0bed26b36e7268a55430a"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-E","Te Owner Corridor Rest E","custom","complete","187, -40, 43","/tp @s 187 -40 43","derived bounds center","true","bounds","x[172…201] y[-46…-34] z[30…55]","","wft_2bdb1133a670163716ae7cdb"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-F","Te Owner Corridor Rest F","custom","complete","250, -40, 69","/tp @s 250 -40 69","derived bounds center","true","bounds","x[235…264] y[-46…-34] z[55…82]","","wft_0637839e54c885a6b5b2968e"
"PassageWay access","Town Expansion R1","TE-OWNER-CORRIDOR-REST-G","Te Owner Corridor Rest G","custom","complete","345, -40, 100","/tp @s 345 -40 100","derived bounds center","true","bounds","x[326…363] y[-46…-34] z[90…110]","","wft_a82f14d7de363329092d66bf"
"PassageWay access","Town Expansion R1","TE-RR-MODERN-CORRIDOR-PILOT-01","Te Rr Modern Corridor Pilot 01","custom","complete","-140, 5, 185","/tp @s -140 5 185","derived bounds center","true","bounds","x[-145…-136] y[1…8] z[179…190]","","wft_a6418ebc21d709b30e8a0ec2"
"PassageWay access","Town Expansion R1","TE-RRCH-GILDED-RAVEN","Te Rrch Gilded Raven","custom","complete","-8, ~, -371","/tp @s -8 ~ -371","derived bounds center","true","bounds","x[-34…18] y[-46…110] z[-402…-340]","","wft_1a02a044d67c352dc41ad563"
"PassageWay access","Town Expansion R1","TE-WL-FREIGHT","Te Wl Freight","custom","complete","-273, ~, -545","/tp @s -273 ~ -545","derived bounds center","true","bounds","x[-347…-200] y[7…76] z[-620…-471]","","wft_9cd3dafe51dacced6995b5c5"
"PassageWay access","Town Expansion R1","TE-WL-LANTERN-STUDIO","Te Wl Lantern Studio","custom","complete","-422, ~, -569","/tp @s -422 ~ -569","derived bounds center","true","bounds","x[-443…-401] y[35…78] z[-589…-550]","","wft_e169669a885af454be6a5eaa"
"PassageWay access","Town Expansion R1","TE-WL-VENUE-BASEMENTS","Te Wl Venue Basements","custom","complete","-360, 9, -595","/tp @s -360 9 -595","derived bounds center","true","bounds","x[-384…-336] y[-5…22] z[-611…-579]","","wft_33f7bdd15973d262cabcd1bc"
"PassageWay access","Westlight Venue","WL-THEATRE","Below-grade theatre and lobbies","building","complete","-354, 68, -498","/tp @s -354 68 -498","catalog entrance","false","bounds","x[-421…-299] y[18…50] z[-613…-498]","Westlight Theatre / Stadium","wft_07caa7ee6f7e7168"
"PassageWay access","Westlight Venue","WL-THEATRE:ROOM:2:auditorium-parterre","Below-grade theatre and lobbies — Auditorium Parterre","room","complete","-330, 35, -555","/tp @s -330 35 -555","derived bounds center","true","bounds","x[-360…-300] y[30…39] z[-612…-499]","Below-grade theatre and lobbies","wft_8b948978d9303e6a"
"PassageWay access","Westlight Venue","WL-THEATRE:ROOM:1:backstage-service","Below-grade theatre and lobbies — Backstage Service","room","complete","-330, 24, -555","/tp @s -330 24 -555","derived bounds center","true","bounds","x[-360…-300] y[19…28] z[-612…-499]","Below-grade theatre and lobbies","wft_973dcc5911f78618"
"PassageWay access","Westlight Venue","WL-THEATRE:ROOM:3:balcony","Below-grade theatre and lobbies — Balcony","room","complete","-330, 44, -555","/tp @s -330 44 -555","derived bounds center","true","bounds","x[-360…-300] y[41…46] z[-612…-499]","Below-grade theatre and lobbies","wft_d0960350546422d6"
"PassageWay access","Westlight Venue","WL-THEATRE:ROOM:1:lower-lobby","Below-grade theatre and lobbies — Lower Lobby","room","complete","-390, 24, -555","/tp @s -390 24 -555","derived bounds center","true","bounds","x[-420…-361] y[19…28] z[-612…-499]","Below-grade theatre and lobbies","wft_72a63ae33ab19676"
"PassageWay access","Westlight Venue","WL-THEATRE:ROOM:2:orchestra-lobby","Below-grade theatre and lobbies — Orchestra Lobby","room","complete","-390, 35, -555","/tp @s -390 35 -555","derived bounds center","true","bounds","x[-420…-361] y[30…39] z[-612…-499]","Below-grade theatre and lobbies","wft_8c16939ea27c6794"
"PassageWay access","Westlight Venue","WL-THEATRE:ROOM:3:upper-lobby","Below-grade theatre and lobbies — Upper Lobby","room","complete","-390, 44, -555","/tp @s -390 44 -555","derived bounds center","true","bounds","x[-420…-361] y[41…46] z[-612…-499]","Below-grade theatre and lobbies","wft_68d88a92e4bd7589"
"PassageWay access","Westlight Venue","WL-THEATRE:CIRCULATION","Below-grade theatre and lobbies vertical circulation","custom","complete","-360, 34, -555","/tp @s -360 34 -555","derived bounds center","true","bounds","x[-421…-299] y[18…50] z[-613…-498]","Below-grade theatre and lobbies","wft_0266ccaedc196a05"
"PassageWay access","Westlight Venue","WL-CLUB","Members club","building","complete","-408, 36, -560","/tp @s -408 36 -560","catalog entrance","false","bounds","x[-417…-400] y[35…44] z[-566…-550]","Westlight Theatre / Stadium","wft_b675d599939e831f"
"PassageWay access","Westlight Venue","WL-CLUB:ROOM:1:bar-and-dance-floor","Members club — Bar and Dance Floor","room","complete","-404, 38, -558","/tp @s -404 38 -558","derived bounds center","true","bounds","x[-408…-401] y[36…39] z[-565…-551]","Members club","wft_e12d8e2aa03a4f68"
"PassageWay access","Westlight Venue","WL-CLUB:ROOM:2:club-landing","Members club — Club Landing","room","complete","-404, 42, -558","/tp @s -404 42 -558","derived bounds center","true","bounds","x[-408…-401] y[41…43] z[-565…-551]","Members club","wft_bc405352fcb3e52f"
"PassageWay access","Westlight Venue","WL-CLUB:ROOM:1:members-lounge","Members club — Members Lounge","room","complete","-412, 38, -558","/tp @s -412 38 -558","derived bounds center","true","bounds","x[-416…-409] y[36…39] z[-565…-551]","Members club","wft_047855d00ab7c86f"
"PassageWay access","Westlight Venue","WL-CLUB:ROOM:2:private-balcony","Members club — Private Balcony","room","complete","-412, 42, -558","/tp @s -412 42 -558","derived bounds center","true","bounds","x[-416…-409] y[41…43] z[-565…-551]","Members club","wft_1325c3100cde4552"
"PassageWay access","Westlight Venue","WL-CLUB:CIRCULATION","Members club vertical circulation","custom","complete","-408, 40, -558","/tp @s -408 40 -558","derived bounds center","true","bounds","x[-417…-400] y[35…44] z[-566…-550]","Members club","wft_f2ca588cd5e07afc"
"PassageWay access","Westlight Venue","WL-BOWL","Stadium bowl and concourses","building","complete","-359, 68, -498","/tp @s -359 68 -498","catalog entrance","false","bounds","x[-429…-291] y[55…91] z[-629…-491]","Westlight Theatre / Stadium","wft_7f14885ad01afaf7"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:4:crown-walk","Stadium bowl and concourses — Crown Walk","room","complete","-394, 86, -560","/tp @s -394 86 -560","derived bounds center","true","bounds","x[-428…-361] y[83…88] z[-628…-492]","Stadium bowl and concourses","wft_f3bbc28662b869d5"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:1:field-level","Stadium bowl and concourses — Field Level","room","complete","-394, 63, -560","/tp @s -394 63 -560","derived bounds center","true","bounds","x[-428…-361] y[59…66] z[-628…-492]","Stadium bowl and concourses","wft_ee7e8ef9ac7d62ee"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:2:main-concourse","Stadium bowl and concourses — Main Concourse","room","complete","-394, 71, -560","/tp @s -394 71 -560","derived bounds center","true","bounds","x[-428…-361] y[68…74] z[-628…-492]","Stadium bowl and concourses","wft_21234f23fed086ac"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:3:members-terrace","Stadium bowl and concourses — Members Terrace","room","complete","-326, 79, -560","/tp @s -326 79 -560","derived bounds center","true","bounds","x[-360…-292] y[76…81] z[-628…-492]","Stadium bowl and concourses","wft_838832fe4a0a2fbb"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:4:press-gallery","Stadium bowl and concourses — Press Gallery","room","complete","-326, 86, -560","/tp @s -326 86 -560","derived bounds center","true","bounds","x[-360…-292] y[83…88] z[-628…-492]","Stadium bowl and concourses","wft_4dda6a096d8b8ab0"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:1:service-ring","Stadium bowl and concourses — Service Ring","room","complete","-326, 63, -560","/tp @s -326 63 -560","derived bounds center","true","bounds","x[-360…-292] y[59…66] z[-628…-492]","Stadium bowl and concourses","wft_ab027f1d79f99549"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:2:south-vomitory","Stadium bowl and concourses — South Vomitory","room","complete","-326, 71, -560","/tp @s -326 71 -560","derived bounds center","true","bounds","x[-360…-292] y[68…74] z[-628…-492]","Stadium bowl and concourses","wft_c792b50502518812"
"PassageWay access","Westlight Venue","WL-BOWL:ROOM:3:upper-concourse","Stadium bowl and concourses — Upper Concourse","room","complete","-394, 79, -560","/tp @s -394 79 -560","derived bounds center","true","bounds","x[-428…-361] y[76…81] z[-628…-492]","Stadium bowl and concourses","wft_4fa1f631dbc5c98e"
"PassageWay access","Westlight Venue","WL-BOWL:CIRCULATION","Stadium bowl and concourses vertical circulation","custom","complete","-360, ~, -560","/tp @s -360 ~ -560","derived bounds center","true","bounds","x[-429…-291] y[55…91] z[-629…-491]","Stadium bowl and concourses","wft_11ddf1cb4dd53a73"
"PassageWay access","Westlight Venue","WL-INFINITY-SCREEN","Westlight four-sided center-hung display","landmark","complete","-360, 83, -560","/tp @s -360 83 -560","derived bounds center","true","bounds","x[-369…-351] y[74…92] z[-568…-552]","Stadium bowl and concourses","wft_c737a3cd778fc968"
"Route / station infrastructure","Approach Road","APPROACH-ROAD:PRIMARY","Ravensgate to Westlight Approach Road","road","complete","-148, 68, -500","/tp @s -148 68 -500","path start","false","path","x[-344…-148] y[68…73] z[-506…-486] · 6 waypoints","Western Approach Road","wft_0ccefc0c05380f1c"
"Route / station infrastructure","Approach Road","approach-road:DISTRICT","Western Approach Road","district","complete","-250, ~, -496","/tp @s -250 ~ -496","derived bounds center","true","bounds","x[-352…-148] y[—] z[-509…-484]","","wft_8731e2b35e3b0151"
"Route / station infrastructure","Mainstreet America","P01-AISLE-1-EAST","aisle 1 east","driveway","complete","54, 64, 196","/tp @s 54 64 196","derived bounds center","true","bounds","x[21…86] y[64] z[192…200]","Visitor parking and Arrival Gardens","wft_dd2f4e03af387a62"
"Route / station infrastructure","Mainstreet America","P01-AISLE-1-WEST","aisle 1 west","driveway","complete","-71, 64, 196","/tp @s -71 64 196","derived bounds center","true","bounds","x[-121…-21] y[64] z[192…200]","Visitor parking and Arrival Gardens","wft_a5ba8c525c8aebef"
"Route / station infrastructure","Mainstreet America","P01-AISLE-2-EAST","aisle 2 east","driveway","complete","58, 64, 223","/tp @s 58 64 223","derived bounds center","true","bounds","x[21…95] y[64] z[219…227]","Visitor parking and Arrival Gardens","wft_2e6bcd700aa37e78"
"Route / station infrastructure","Mainstreet America","P01-AISLE-2-WEST","aisle 2 west","driveway","complete","-71, 64, 223","/tp @s -71 64 223","derived bounds center","true","bounds","x[-121…-21] y[64] z[219…227]","Visitor parking and Arrival Gardens","wft_9e62e7791050e5b5"
"Route / station infrastructure","Mainstreet America","FENCE:DIV-A01","Arrival and Visitor Campus white picket boundary","fence","complete","0, ~, 190","/tp @s 0 ~ 190","derived polygon center","true","polygon","x[-135…135] y[62…319] z[75…305] · 10 vertices","Arrival and Visitor Campus","wft_fedb35b614091e0e"
"Route / station infrastructure","Mainstreet America","R5-B02-CULINARY-PYLONS","B02 culinary identity pylons","landmark","complete","-86, 67, -95","/tp @s -86 67 -95","derived bounds center","true","bounds","x[-86] y[65…69] z[-105…-85]","Retail & Cooking School","wft_36308bf38d43af5d"
"Route / station infrastructure","Mainstreet America","R5-B03-SERVICE-LANE","B03 screened service approach","road","complete","0, 64, -225","/tp @s 0 64 -225","derived bounds center","true","bounds","x[-3…3] y[64] z[-231…-219]","Service Warehouse","wft_43911af49847ab46"
"Route / station infrastructure","Mainstreet America","R5-B03-SERVICE-PYLONS","B03 service identity pylons","landmark","complete","0, 67, -226","/tp @s 0 67 -226","derived bounds center","true","bounds","x[-7…7] y[65…68] z[-226]","Service Warehouse","wft_7158336092338b2a"
"Route / station infrastructure","Mainstreet America","R5-B03-SERVICE-SCREEN","B03 service-yard landscape screen","landscape","complete","0, 65, -259","/tp @s 0 65 -259","derived bounds center","true","bounds","x[-28…28] y[61…68] z[-282…-236]","Service Warehouse","wft_81566cdbe0443ec0"
"Route / station infrastructure","Mainstreet America","R06","Brick Cross","road","complete","-83, 64, -83","/tp @s -83 64 -83","path start","false","path","x[-83…4] y[64] z[-83] · 2 waypoints","MainStreet America campus","wft_22a144d40ba6431d"
